order_id,order_date,completed_date,product_type,ordered_quantity,produced_quantity,defect_count,unit_price,is_injected_anomaly
HIST-0032,2025-02-01,2025-02-04,Product Label,3877,4181,137,734,0
HIST-0033,2025-02-02,2025-02-07,Corrugated Box,549,564,24,6353,0
HIST-0034,2025-02-03,2025-02-07,Corrugated Box,304,314,3,6456,0
HIST-0035,2025-02-04,2025-02-06,Product Label,2800,2877,73,1037,0
HIST-0036,2025-02-05,2025-02-10,Product Label,2709,2919,92,851,0
HIST-0037,2025-02-06,2025-02-12,Folding Carton,772,817,23,4013,0
HIST-0038,2025-02-07,2025-02-16,Folding Carton,816,878,42,4660,0
HIST-0039,2025-02-08,2025-02-12,Corrugated Box,516,530,15,5183,0
HIST-0040,2025-02-09,2025-02-15,Flexible Pouch,1738,1863,23,1156,0
HIST-0041,2025-02-10,2025-02-15,Folding Carton,1198,1284,31,4129,0
HIST-0042,2025-02-11,2025-02-16,Flexible Pouch,8346,8546,402,1414,1
HIST-0043,2025-02-12,2025-02-20,Flexible Pouch,1853,1992,276,1902,1
HIST-0044,2025-02-13,2025-02-15,Product Label,2774,2839,63,880,0
HIST-0045,2025-02-14,2025-02-20,Corrugated Box,578,603,22,6000,0
HIST-0046,2025-02-15,2025-02-20,Folding Carton,810,838,120,4500,1
HIST-0047,2025-02-16,2025-02-22,Flexible Pouch,2837,2957,47,2272,0
HIST-0048,2025-02-17,2025-02-23,Folding Carton,600,616,19,5334,0
HIST-0049,2025-02-18,2025-02-21,Product Label,3556,3793,73,968,0
HIST-0050,2025-02-19,2025-02-23,Product Label,2825,3027,81,884,0
HIST-0051,2025-02-20,2025-02-24,Product Label,1460,1501,43,864,0
HIST-0052,2025-02-21,2025-02-25,Flexible Pouch,2131,2215,78,2318,0
HIST-0053,2025-02-22,2025-02-28,Flexible Pouch,1975,2123,86,1484,0
HIST-0054,2025-02-23,2025-03-03,Folding Carton,1012,1081,33,4807,0
HIST-0055,2025-02-24,2025-03-01,Flexible Pouch,1881,1941,72,1820,0
HIST-0056,2025-02-25,2025-03-02,Product Label,2886,2958,139,1076,0
HIST-0057,2025-02-26,2025-03-01,Product Label,2057,2171,41,890,0
HIST-0058,2025-02-27,2025-03-05,Flexible Pouch,1720,1764,18,1496,0
HIST-0059,2025-02-28,2025-03-07,Folding Carton,856,900,3,5309,0
HIST-0060,2025-03-01,2025-03-03,Product Label,3248,3336,60,1142,0
HIST-0061,2025-03-02,2025-03-08,Folding Carton,515,549,19,5533,0
HIST-0062,2025-03-03,2025-03-08,Corrugated Box,678,706,20,6710,0
HIST-0063,2025-03-04,2025-03-08,Product Label,2911,3046,113,877,0
HIST-0064,2025-03-05,2025-03-08,Product Label,3889,4055,739,788,1
HIST-0065,2025-03-06,2025-03-13,Flexible Pouch,2532,2712,86,2057,0
HIST-0066,2025-03-07,2025-03-12,Folding Carton,439,460,12,5623,0
HIST-0067,2025-03-08,2025-03-10,Product Label,2039,2117,33,712,0
HIST-0068,2025-03-09,2025-03-11,Product Label,3166,3283,84,688,0
HIST-0069,2025-03-10,2025-03-16,Folding Carton,883,948,32,4991,0
HIST-0070,2025-03-11,2025-03-17,Folding Carton,673,723,25,4374,0
HIST-0071,2025-03-12,2025-03-17,Corrugated Box,613,648,23,6261,0
HIST-0072,2025-03-13,2025-03-18,Folding Carton,533,573,19,2866,0
HIST-0073,2025-03-14,2025-03-22,Folding Carton,836,859,21,5262,0
HIST-0074,2025-03-15,2025-03-18,Product Label,3812,4056,72,914,0
HIST-0075,2025-03-16,2025-03-21,Product Label,2467,2607,119,846,0
HIST-0076,2025-03-17,2025-03-21,Product Label,2376,2448,7,971,0
HIST-0077,2025-03-18,2025-03-22,Corrugated Box,477,509,9,6019,0
HIST-0078,2025-03-19,2025-03-27,Flexible Pouch,2131,2248,47,1909,0
HIST-0079,2025-03-20,2025-03-25,Product Label,3640,3824,113,850,0
HIST-0080,2025-03-21,2025-03-25,Product Label,4171,4331,117,1212,0
HIST-0081,2025-03-22,2025-03-28,Flexible Pouch,1662,1736,50,1900,0
HIST-0082,2025-03-23,2025-03-28,Folding Carton,427,448,10,3718,0
HIST-0083,2025-03-24,2025-03-29,Corrugated Box,683,723,15,5634,0
HIST-0084,2025-03-25,2025-03-30,Product Label,3372,3566,40,849,0
HIST-0085,2025-03-26,2025-04-01,Product Label,4559,4902,128,933,0
HIST-0086,2025-03-27,2025-04-03,Folding Carton,769,807,12,3954,0
HIST-0087,2025-03-28,2025-04-02,Product Label,3367,3491,103,1000,0
HIST-0088,2025-03-29,2025-03-31,Product Label,2815,3011,63,1040,0
HIST-0089,2025-03-30,2025-04-06,Flexible Pouch,1402,1440,24,2209,0
HIST-0090,2025-03-31,2025-04-05,Product Label,2674,2838,52,1263,0
HIST-0091,2025-04-01,2025-04-07,Flexible Pouch,1376,1447,213,1711,1
HIST-0092,2025-04-02,2025-04-10,Flexible Pouch,1725,1846,25,2069,0
HIST-0093,2025-04-03,2025-04-10,Corrugated Box,710,728,14,6328,0
HIST-0094,2025-04-04,2025-04-10,Folding Carton,846,909,12,5595,0
HIST-0095,2025-04-05,2025-04-12,Folding Carton,881,930,17,3404,0
HIST-0096,2025-04-06,2025-04-09,Product Label,2528,2677,75,647,0
HIST-0097,2025-04-07,2025-04-13,Flexible Pouch,1899,1998,26,1752,0
HIST-0098,2025-04-08,2025-04-24,Folding Carton,869,913,45,4890,1
HIST-0099,2025-04-09,2025-04-14,Flexible Pouch,1699,1774,25,1490,0
HIST-0100,2025-04-10,2025-04-15,Folding Carton,860,887,32,4536,0
HIST-0101,2025-04-11,2025-04-17,Flexible Pouch,1739,1775,14,1965,0
HIST-0102,2025-04-12,2025-04-17,Corrugated Box,581,614,5,5690,0
HIST-0103,2025-04-13,2025-04-16,Folding Carton,755,806,9,4754,0
HIST-0104,2025-04-14,2025-04-22,Flexible Pouch,1571,1655,18,2014,0
HIST-0105,2025-04-15,2025-04-21,Folding Carton,1090,1161,54,3644,0
HIST-0106,2025-04-16,2025-04-18,Product Label,2746,2882,57,652,0
HIST-0107,2025-04-17,2025-04-24,Folding Carton,843,864,16,3258,0
HIST-0108,2025-04-18,2025-04-25,Folding Carton,687,702,24,4054,0
HIST-0109,2025-04-19,2025-04-24,Corrugated Box,615,656,5,5569,0
HIST-0110,2025-04-20,2025-04-27,Flexible Pouch,1677,1734,48,1415,0
HIST-0111,2025-04-21,2025-04-26,Corrugated Box,497,508,9,6529,0
HIST-0112,2025-04-22,2025-04-28,Product Label,2680,2871,36,838,0
HIST-0113,2025-04-23,2025-04-25,Product Label,4530,4695,100,839,0
HIST-0114,2025-04-24,2025-05-01,Flexible Pouch,1924,2045,64,1466,0
HIST-0115,2025-04-25,2025-05-01,Flexible Pouch,2821,2975,69,1852,0
HIST-0116,2025-04-26,2025-05-02,Folding Carton,488,502,24,4615,0
HIST-0117,2025-04-27,2025-05-02,Corrugated Box,418,442,6,7029,0
HIST-0118,2025-04-28,2025-05-02,Flexible Pouch,2485,2615,65,1703,0
HIST-0119,2025-04-29,2025-05-03,Folding Carton,785,826,25,3306,0
HIST-0120,2025-04-30,2025-05-06,Flexible Pouch,974,1008,17,2035,0
HIST-0121,2025-05-01,2025-05-08,Flexible Pouch,2140,2283,68,2515,0
HIST-0122,2025-05-02,2025-05-10,Flexible Pouch,2327,2487,47,1988,0
HIST-0123,2025-05-03,2025-05-08,Product Label,2739,2901,125,828,0
HIST-0124,2025-05-04,2025-05-10,Folding Carton,724,780,28,4720,0
HIST-0125,2025-05-05,2025-05-08,Product Label,2531,2660,37,552,0
HIST-0126,2025-05-06,2025-05-10,Corrugated Box,684,700,17,6279,0
HIST-0127,2025-05-07,2025-05-13,Folding Carton,636,649,21,4891,0
HIST-0128,2025-05-08,2025-05-12,Product Label,3421,3590,81,745,0
HIST-0129,2025-05-09,2025-05-13,Corrugated Box,632,657,16,6184,0
HIST-0130,2025-05-10,2025-05-15,Flexible Pouch,1088,1131,48,1351,0
HIST-0131,2025-05-11,2025-05-17,Corrugated Box,413,422,11,5492,0
HIST-0132,2025-05-12,2025-05-18,Folding Carton,766,783,27,4695,0
HIST-0133,2025-05-13,2025-05-19,Corrugated Box,280,300,4,7402,0
HIST-0134,2025-05-14,2025-05-21,Corrugated Box,562,599,19,7338,0
HIST-0135,2025-05-15,2025-05-20,Folding Carton,802,865,43,4291,0
HIST-0136,2025-05-16,2025-05-23,Folding Carton,1004,1060,35,3855,0
HIST-0137,2025-05-17,2025-05-24,Flexible Pouch,2254,2346,68,2022,0
HIST-0138,2025-05-18,2025-05-21,Corrugated Box,560,596,27,5999,0
HIST-0139,2025-05-19,2025-05-25,Folding Carton,846,898,25,5445,0
HIST-0140,2025-05-20,2025-05-24,Flexible Pouch,2159,2204,54,1818,0
HIST-0141,2025-05-21,2025-05-25,Product Label,3537,3722,95,902,0
HIST-0142,2025-05-22,2025-05-27,Folding Carton,605,628,6,4394,0
HIST-0143,2025-05-23,2025-05-30,Flexible Pouch,1285,1378,52,1763,0
HIST-0144,2025-05-24,2025-05-27,Product Label,3023,3206,93,773,0
HIST-0145,2025-05-25,2025-05-28,Product Label,3660,3846,81,880,0
HIST-0146,2025-05-26,2025-05-30,Product Label,2879,2953,56,813,0
HIST-0147,2025-05-27,2025-06-02,Folding Carton,728,750,8,4671,0
HIST-0148,2025-05-28,2025-05-31,Folding Carton,1059,1136,3,3687,0
HIST-0149,2025-05-29,2025-05-31,Product Label,2929,3088,92,1082,0
HIST-0150,2025-05-30,2025-06-04,Flexible Pouch,1549,1589,23,1686,0
HIST-0151,2025-05-31,2025-06-07,Corrugated Box,770,819,21,6198,0
HIST-0152,2025-06-01,2025-06-06,Corrugated Box,539,569,34,6618,0
HIST-0153,2025-06-02,2025-06-07,Flexible Pouch,2388,2490,89,1691,0
HIST-0154,2025-06-03,2025-06-09,Flexible Pouch,2111,2196,66,1804,0
HIST-0155,2025-06-04,2025-06-09,Corrugated Box,432,448,12,5202,0
HIST-0156,2025-06-05,2025-06-11,Folding Carton,950,984,18,3560,0
HIST-0157,2025-06-06,2025-06-11,Corrugated Box,429,440,1,7152,0
HIST-0158,2025-06-07,2025-06-12,Corrugated Box,549,590,15,6301,0
HIST-0159,2025-06-08,2025-06-12,Corrugated Box,417,433,12,5445,0
HIST-0160,2025-06-09,2025-06-13,Folding Carton,722,760,11,2749,0
HIST-0161,2025-06-10,2025-06-15,Product Label,3023,3217,54,853,0
HIST-0162,2025-06-11,2025-06-16,Corrugated Box,607,647,17,5118,0
HIST-0163,2025-06-12,2025-06-17,Corrugated Box,475,492,5,8354,0
HIST-0164,2025-06-13,2025-06-18,Corrugated Box,421,436,14,5823,0
HIST-0165,2025-06-14,2025-06-21,Folding Carton,1008,1043,43,5505,0
HIST-0166,2025-06-15,2025-06-19,Product Label,2809,2952,54,770,0
HIST-0167,2025-06-16,2025-06-22,Flexible Pouch,1932,1985,51,1924,0
HIST-0168,2025-06-17,2025-06-25,Flexible Pouch,2179,2295,66,2150,0
HIST-0169,2025-06-18,2025-06-25,Folding Carton,784,815,22,5158,0
HIST-0170,2025-06-19,2025-06-24,Corrugated Box,609,628,13,7580,0
HIST-0171,2025-06-20,2025-06-24,Folding Carton,869,934,28,1946,0
HIST-0172,2025-06-21,2025-06-29,Folding Carton,591,625,12,4002,0
HIST-0173,2025-06-22,2025-06-27,Corrugated Box,599,634,8,7955,0
HIST-0174,2025-06-23,2025-06-29,Folding Carton,794,832,13,3545,0
HIST-0175,2025-06-24,2025-06-30,Folding Carton,749,778,25,4426,0
HIST-0176,2025-06-25,2025-06-30,Corrugated Box,425,446,4,7494,0
HIST-0177,2025-06-26,2025-07-01,Product Label,2082,2129,63,934,0
HIST-0178,2025-06-27,2025-07-03,Folding Carton,547,568,11,4732,0
HIST-0179,2025-06-28,2025-07-04,Flexible Pouch,2718,2890,84,2194,0
HIST-0180,2025-06-29,2025-07-06,Folding Carton,822,855,21,4592,0
HIST-0181,2025-06-30,2025-07-04,Product Label,3380,3581,118,900,0
HIST-0182,2025-07-01,2025-07-06,Flexible Pouch,2302,2456,104,1914,0
HIST-0183,2025-07-02,2025-07-08,Folding Carton,612,629,14,3785,0
HIST-0184,2025-07-03,2025-07-09,Folding Carton,912,960,29,4738,0
HIST-0185,2025-07-04,2025-07-22,Product Label,2781,2890,72,573,1
HIST-0186,2025-07-05,2025-07-10,Product Label,3122,3348,62,825,0
HIST-0187,2025-07-06,2025-07-13,Folding Carton,978,1016,34,4110,0
HIST-0188,2025-07-07,2025-07-12,Folding Carton,926,995,15,4571,0
HIST-0189,2025-07-08,2025-07-13,Product Label,3326,3545,36,757,0
HIST-0190,2025-07-09,2025-07-16,Corrugated Box,843,874,23,5260,0
HIST-0191,2025-07-10,2025-07-16,Folding Carton,821,878,37,4811,0
HIST-0192,2025-07-11,2025-07-16,Flexible Pouch,1742,1865,57,1782,0
HIST-0193,2025-07-12,2025-07-17,Folding Carton,786,849,19,4362,0
HIST-0194,2025-07-13,2025-07-22,Flexible Pouch,2091,2256,41,2196,0
HIST-0195,2025-07-14,2025-07-20,Corrugated Box,579,621,16,6364,0
HIST-0196,2025-07-15,2025-07-21,Corrugated Box,382,402,9,5111,0
HIST-0197,2025-07-16,2025-07-20,Product Label,3005,3245,56,1019,0
HIST-0198,2025-07-17,2025-07-23,Corrugated Box,740,775,31,6945,0
HIST-0199,2025-07-18,2025-07-23,Product Label,3368,3594,43,990,0
HIST-0200,2025-07-19,2025-07-24,Product Label,2523,2695,115,1096,0
HIST-0201,2025-07-20,2025-07-26,Folding Carton,593,608,16,4332,0
HIST-0202,2025-07-21,2025-07-28,Flexible Pouch,2141,2240,56,1503,0
HIST-0203,2025-07-22,2025-07-27,Corrugated Box,522,538,25,6334,0
HIST-0204,2025-07-23,2025-07-28,Corrugated Box,298,306,5,5695,0
HIST-0205,2025-07-24,2025-07-29,Corrugated Box,530,557,14,7660,0
HIST-0206,2025-07-25,2025-07-27,Product Label,4031,4293,79,552,0
HIST-0207,2025-07-26,2025-08-01,Folding Carton,924,988,37,4831,0
HIST-0208,2025-07-27,2025-07-31,Corrugated Box,666,714,122,6745,1
HIST-0209,2025-07-28,2025-08-01,Flexible Pouch,2589,2743,30,1065,0
HIST-0210,2025-07-29,2025-08-03,Folding Carton,529,562,31,3810,0
HIST-0211,2025-07-30,2025-08-04,Flexible Pouch,1835,1918,295,1691,1
HIST-0212,2025-07-31,2025-08-06,Flexible Pouch,1360,1430,42,1571,0
HIST-0213,2025-08-01,2025-08-06,Folding Carton,562,573,19,5098,0
HIST-0214,2025-08-02,2025-08-08,Corrugated Box,512,537,13,6829,0
HIST-0215,2025-08-03,2025-08-09,Corrugated Box,671,708,34,6269,0
HIST-0216,2025-08-04,2025-08-09,Flexible Pouch,1629,1703,16,2245,0
HIST-0217,2025-08-05,2025-08-09,Corrugated Box,600,625,11,6408,0
HIST-0218,2025-08-06,2025-08-12,Corrugated Box,824,884,17,6768,0
HIST-0219,2025-08-07,2025-08-10,Corrugated Box,464,491,2,4113,0
HIST-0220,2025-08-08,2025-08-16,Flexible Pouch,2530,2732,82,1787,0
HIST-0221,2025-08-09,2025-08-15,Corrugated Box,442,466,8,6972,0
HIST-0222,2025-08-10,2025-08-15,Folding Carton,701,732,19,3714,0
HIST-0223,2025-08-11,2025-08-18,Folding Carton,657,704,94,4519,1
HIST-0224,2025-08-12,2025-08-18,Corrugated Box,752,809,21,6022,0
HIST-0225,2025-08-13,2025-08-15,Product Label,1915,2019,74,874,0
HIST-0226,2025-08-14,2025-08-19,Flexible Pouch,2121,2212,76,1582,0
HIST-0227,2025-08-15,2025-08-22,Flexible Pouch,2696,2785,73,1655,0
HIST-0228,2025-08-16,2025-08-21,Folding Carton,791,835,28,4419,0
HIST-0229,2025-08-17,2025-08-23,Product Label,3356,3609,74,1131,0
HIST-0230,2025-08-18,2025-08-26,Folding Carton,804,821,24,4080,0
HIST-0231,2025-08-19,2025-08-21,Product Label,3716,3792,131,574,0
HIST-0232,2025-08-20,2025-08-26,Product Label,2204,2284,80,897,0
HIST-0233,2025-08-21,2025-08-24,Folding Carton,721,777,22,4224,0
HIST-0234,2025-08-22,2025-08-26,Corrugated Box,471,491,13,5458,0
HIST-0235,2025-08-23,2025-08-30,Folding Carton,342,369,8,4930,0
HIST-0236,2025-08-24,2025-08-28,Product Label,3740,3993,43,483,0
HIST-0237,2025-08-25,2025-08-30,Product Label,2595,2651,125,961,0
HIST-0238,2025-08-26,2025-08-31,Folding Carton,533,556,10,5333,0
HIST-0239,2025-08-27,2025-09-01,Product Label,2062,2130,61,934,0
HIST-0240,2025-08-28,2025-09-02,Flexible Pouch,2297,2399,85,1237,0
HIST-0241,2025-08-29,2025-09-04,Corrugated Box,599,642,21,8174,0
HIST-0242,2025-08-30,2025-09-06,Folding Carton,656,708,13,4799,0
HIST-0243,2025-08-31,2025-09-03,Product Label,4386,4711,170,949,0
HIST-0244,2025-09-01,2025-09-07,Flexible Pouch,2225,2290,110,1412,0
HIST-0245,2025-09-02,2025-09-07,Corrugated Box,505,529,12,6044,0
HIST-0246,2025-09-03,2025-09-09,Folding Carton,488,526,16,5103,0
HIST-0247,2025-09-04,2025-09-10,Corrugated Box,709,765,5,7621,0
HIST-0248,2025-09-05,2025-09-09,Product Label,2037,2144,68,896,0
HIST-0249,2025-09-06,2025-09-13,Folding Carton,2852,2975,9,5532,1
HIST-0250,2025-09-07,2025-09-12,Flexible Pouch,2038,2133,62,2175,0
HIST-0251,2025-09-08,2025-09-13,Flexible Pouch,1731,1787,55,2243,0
HIST-0252,2025-09-09,2025-09-16,Flexible Pouch,2241,2318,19,1745,0
HIST-0253,2025-09-10,2025-09-15,Folding Carton,742,797,155,4357,1
HIST-0254,2025-09-11,2025-09-16,Flexible Pouch,1996,2139,111,1954,0
HIST-0255,2025-09-12,2025-09-15,Product Label,3757,3931,203,1105,0
HIST-0256,2025-09-13,2025-09-17,Product Label,3017,3196,517,867,1
HIST-0257,2025-09-14,2025-09-21,Folding Carton,636,655,22,5077,0
HIST-0258,2025-09-15,2025-09-17,Product Label,2443,2566,71,770,0
HIST-0259,2025-09-16,2025-09-21,Folding Carton,721,754,29,2431,0
HIST-0260,2025-09-17,2025-09-23,Folding Carton,550,593,17,5507,0
HIST-0261,2025-09-18,2025-09-22,Corrugated Box,732,783,17,6224,0
HIST-0262,2025-09-19,2025-09-23,Product Label,2763,2923,154,1120,0
HIST-0263,2025-09-20,2025-09-25,Product Label,4071,4243,69,954,0
HIST-0264,2025-09-21,2025-09-23,Product Label,3593,3711,32,906,0
HIST-0265,2025-09-22,2025-09-29,Flexible Pouch,1293,1377,34,1833,0
HIST-0266,2025-09-23,2025-09-26,Corrugated Box,530,547,11,8386,0
HIST-0267,2025-09-24,2025-09-30,Folding Carton,881,936,27,4894,0
HIST-0268,2025-09-25,2025-10-01,Folding Carton,958,995,27,3539,0
HIST-0269,2025-09-26,2025-09-30,Corrugated Box,547,574,12,5940,0
HIST-0270,2025-09-27,2025-10-01,Corrugated Box,412,426,8,7141,0
HIST-0271,2025-09-28,2025-10-04,Folding Carton,1039,1075,33,4731,0
HIST-0272,2025-09-29,2025-10-05,Folding Carton,1160,1204,38,4593,0
HIST-0273,2025-09-30,2025-10-06,Folding Carton,440,462,8,3322,0
HIST-0274,2025-10-01,2025-10-03,Product Label,1839,1976,44,710,0
HIST-0275,2025-10-02,2025-10-07,Product Label,2745,2878,66,1062,0
HIST-0276,2025-10-03,2025-10-10,Flexible Pouch,2222,2281,25,1893,0
HIST-0277,2025-10-04,2025-10-08,Flexible Pouch,1616,1733,24,2025,0
HIST-0278,2025-10-05,2025-10-10,Corrugated Box,651,701,29,6713,0
HIST-0279,2025-10-06,2025-10-13,Folding Carton,479,494,15,3938,0
HIST-0280,2025-10-07,2025-10-09,Product Label,2651,2735,48,845,0
HIST-0281,2025-10-08,2025-10-13,Corrugated Box,643,661,13,7228,0
HIST-0282,2025-10-09,2025-10-14,Flexible Pouch,1541,1596,18,1518,0
HIST-0283,2025-10-10,2025-10-14,Product Label,3438,3666,82,662,0
HIST-0284,2025-10-11,2025-10-15,Product Label,2128,2297,86,711,0
HIST-0285,2025-10-12,2025-10-18,Flexible Pouch,2138,2192,69,2157,0
HIST-0286,2025-10-13,2025-10-19,Corrugated Box,355,371,5,4390,0
HIST-0287,2025-10-14,2025-10-20,Flexible Pouch,1445,1559,25,1377,0
HIST-0288,2025-10-15,2025-10-22,Corrugated Box,589,627,8,6715,0
HIST-0289,2025-10-16,2025-10-20,Flexible Pouch,2453,2570,55,2179,0
HIST-0290,2025-10-17,2025-10-22,Corrugated Box,573,594,17,6304,0
HIST-0291,2025-10-18,2025-10-23,Flexible Pouch,1983,2049,64,1824,0
HIST-0292,2025-10-19,2025-10-26,Flexible Pouch,2130,2273,58,1572,0
HIST-0293,2025-10-20,2025-10-27,Folding Carton,1012,1046,3,4635,0
HIST-0294,2025-10-21,2025-10-24,Product Label,3647,3748,100,717,0
HIST-0295,2025-10-22,2025-10-25,Corrugated Box,584,626,23,7476,0
HIST-0296,2025-10-23,2025-10-25,Corrugated Box,373,386,13,6953,0
HIST-0297,2025-10-24,2025-10-29,Product Label,3032,3236,74,882,0
HIST-0298,2025-10-25,2025-10-31,Folding Carton,1029,1061,24,4875,0
HIST-0299,2025-10-26,2025-11-02,Folding Carton,870,939,25,3268,0
HIST-0300,2025-10-27,2025-11-03,Flexible Pouch,1959,2047,34,2339,0
HIST-0301,2025-10-28,2025-11-02,Flexible Pouch,2001,2159,52,1885,0
HIST-0302,2025-10-29,2025-11-02,Flexible Pouch,2180,2310,85,1732,0
HIST-0303,2025-10-30,2025-11-03,Folding Carton,669,705,9,4304,0
HIST-0304,2025-10-31,2025-11-03,Product Label,2616,2731,76,996,0
HIST-0305,2025-11-01,2025-11-05,Flexible Pouch,2349,2501,21,1640,0
HIST-0306,2025-11-02,2025-11-05,Product Label,2251,2327,124,962,0
HIST-0307,2025-11-03,2025-11-08,Folding Carton,837,891,24,3710,0
HIST-0308,2025-11-04,2025-11-10,Folding Carton,1143,1227,46,4183,0
HIST-0309,2025-11-05,2025-11-10,Product Label,2651,2859,68,559,0
HIST-0310,2025-11-06,2025-11-12,Corrugated Box,480,492,4,6024,0
HIST-0311,2025-11-07,2025-11-15,Folding Carton,548,563,22,4036,0
HIST-0312,2025-11-08,2025-11-12,Product Label,2682,2838,68,911,0
HIST-0313,2025-11-09,2025-11-14,Folding Carton,761,784,142,3491,1
HIST-0314,2025-11-10,2025-11-18,Flexible Pouch,2045,2126,66,1683,0
HIST-0315,2025-11-11,2025-11-16,Folding Carton,921,956,28,3958,0
HIST-0316,2025-11-12,2025-11-17,Folding Carton,661,686,12,4067,0
HIST-0317,2025-11-13,2025-11-21,Corrugated Box,625,643,8,8039,0
HIST-0318,2025-11-14,2025-11-19,Flexible Pouch,1689,1764,22,1611,0
HIST-0319,2025-11-15,2025-11-18,Product Label,2270,2348,138,1026,0
HIST-0320,2025-11-16,2025-11-20,Folding Carton,719,760,35,4550,0
HIST-0321,2025-11-17,2025-11-23,Folding Carton,853,908,10,3557,0
HIST-0322,2025-11-18,2025-11-22,Corrugated Box,561,588,20,4307,0
HIST-0323,2025-11-19,2025-11-24,Corrugated Box,683,701,26,5067,0
HIST-0324,2025-11-20,2025-11-22,Product Label,3164,3335,70,855,0
HIST-0325,2025-11-21,2025-11-25,Corrugated Box,532,553,14,5993,0
HIST-0326,2025-11-22,2025-11-26,Flexible Pouch,1836,1928,59,1828,0
HIST-0327,2025-11-23,2025-11-25,Product Label,3024,3137,9,1044,0
HIST-0328,2025-11-24,2025-12-01,Flexible Pouch,2068,2175,79,1661,0
HIST-0329,2025-11-25,2025-12-02,Flexible Pouch,1896,1994,79,1168,0
HIST-0330,2025-11-26,2025-12-02,Product Label,3404,3657,53,1029,0
HIST-0331,2025-11-27,2025-12-02,Folding Carton,935,985,30,4540,0
HIST-0332,2025-11-28,2025-12-05,Corrugated Box,576,599,9,6267,0
HIST-0333,2025-11-29,2025-12-01,Product Label,3007,3108,29,1032,0
HIST-0334,2025-11-30,2025-12-06,Corrugated Box,416,441,8,6154,0
HIST-0335,2025-12-01,2025-12-08,Folding Carton,746,762,13,4970,0
HIST-0336,2025-12-02,2025-12-08,Corrugated Box,597,612,7,5243,0
HIST-0337,2025-12-03,2025-12-09,Folding Carton,984,1036,246,4703,1
HIST-0338,2025-12-04,2025-12-07,Product Label,3523,3795,40,816,0
HIST-0339,2025-12-05,2025-12-12,Corrugated Box,331,342,14,7157,0
HIST-0340,2025-12-06,2025-12-10,Product Label,3853,4079,12,831,0
HIST-0341,2025-12-07,2025-12-10,Corrugated Box,422,433,14,6680,0
HIST-0342,2025-12-08,2025-12-14,Folding Carton,595,623,11,2991,0
HIST-0343,2025-12-09,2025-12-14,Flexible Pouch,2181,2251,41,1665,0
HIST-0344,2025-12-10,2025-12-13,Product Label,2922,3114,79,993,0
HIST-0345,2025-12-11,2025-12-16,Folding Carton,715,733,23,4805,0
HIST-0346,2025-12-12,2025-12-16,Corrugated Box,693,713,27,3757,0
HIST-0347,2025-12-13,2025-12-20,Folding Carton,536,562,2,3734,0
